,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.0, 0.1, 0.6, 0.3)",1061.0,2316.846696099204,2106.9352317109488,-749.5992504539099,542.5737168979977,1582.4010332183534,4045.15124858552,8092.452242511783
"(0.0, 0.0, 0.0, 0.1, 0.7, 0.2)",1060.0,2253.6045881659243,2096.835830138219,-792.0415523837801,473.7207389901996,1505.4161236901036,3970.340144400623,8033.241541922514
"(0.0, 0.0, 0.0, 0.1, 0.8, 0.1)",1060.0,2246.1230335766545,2079.231007149138,-789.6673395257458,490.64665326473073,1532.7046252879882,3927.4031550872514,8049.751728321142
"(0.0, 0.0, 0.0, 0.1, 0.9, 0.0)",1060.0,2250.464087808357,2119.1253307512266,-849.0545778274536,438.4635078907013,1517.9162907600403,3987.92682492733,8110.262229919434
"(0.0, 0.0, 0.0, 0.2, 0.0, 0.8)",1059.0,1845.456289270358,1675.7991815765124,-839.7529856376568,440.5158088021508,1369.0441222872741,3168.498802068465,6664.00039834786
"(0.0, 0.0, 0.0, 0.2, 0.1, 0.7)",1061.0,1892.7935939316533,1678.1881554044924,-718.9374617390204,530.129414940966,1419.9174985270147,3234.7506667170383,6715.901824514593
"(0.0, 0.0, 0.0, 0.2, 0.2, 0.6)",1059.0,1871.2376351794196,1662.7729095993047,-729.8564356845309,492.11460165095195,1391.8432481580276,3199.5722030343604,6689.724883910734
"(0.0, 0.0, 0.0, 0.2, 0.3, 0.5)",1059.0,1829.3638611622066,1632.5178273998486,-724.9782060021535,468.6303562165813,1380.0733789679143,3117.324598359817,6588.399109983271
"(0.0, 0.0, 0.0, 0.2, 0.4, 0.4)",1061.0,1942.108457763125,1688.0705600620956,-611.9383344116577,562.8347333508464,1468.6997688142765,3285.8476786870524,6798.7518612086715
"(0.0, 0.0, 0.0, 0.2, 0.5, 0.3)",1060.0,1813.8326170516618,1661.2978237205202,-770.575237925983,435.0300663929647,1342.5059657970887,3129.921559152068,6623.722221639553
