,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1061.0,-0.016133673684464465,0.017607024097090022,-0.09301273311386124,-0.025020443663305164,-0.011102572914755166,-0.001427966601977392,0.0
"(0.0, 0.0, 0.0, 0.1, 0.0, 0.9)",1060.0,-0.015202651474915365,0.01604833264918118,-0.1220584822508809,-0.024105057179165376,-0.011054826030522255,-0.0009716622872938895,0.0
"(0.0, 0.0, 0.0, 0.1, 0.1, 0.8)",1059.0,-0.015434324673501296,0.017047546624614884,-0.132375828351502,-0.024848745695253985,-0.010495789602300598,-0.0011358482313671492,0.0
"(0.0, 0.0, 0.0, 0.1, 0.2, 0.7)",1061.0,-0.01350568011471702,0.014971742202586949,-0.07937733933637803,-0.02183268770311782,-0.008244438517227599,-0.00021619484135433292,0.0
"(0.0, 0.0, 0.0, 0.1, 0.3, 0.6)",1060.0,-0.014674475953786983,0.015203764245933964,-0.09623338905031309,-0.02326234602173392,-0.010341019485045962,-0.0013221785153227418,0.0
"(0.0, 0.0, 0.0, 0.1, 0.4, 0.5)",1061.0,-0.014228763244970627,0.01637845394407998,-0.11329892317032095,-0.0216855410244882,-0.008834914353377967,-0.0009819477536679771,0.0
"(0.0, 0.0, 0.0, 0.1, 0.5, 0.4)",1061.0,-0.015995069890370694,0.018044715327551236,-0.11735967188452233,-0.02442497243886931,-0.010612650397419276,-0.001220422995138399,0.0
"(0.0, 0.0, 0.0, 0.1, 0.6, 0.3)",1061.0,-0.01320926941568915,0.014357121989180412,-0.079951087124044,-0.020970576437838253,-0.008922461057081473,-0.0006358748877228482,0.0
"(0.0, 0.0, 0.0, 0.1, 0.7, 0.2)",1060.0,-0.012721328285837153,0.01395139750461522,-0.08641247020377879,-0.019251790287491726,-0.008616715530560242,-0.0006454647363992117,0.0
"(0.0, 0.0, 0.0, 0.1, 0.8, 0.1)",1060.0,-0.013938361514403958,0.01551549843001075,-0.09429237471087858,-0.022131074912757526,-0.00945021184612548,-0.0008992478758713264,0.0
"(0.0, 0.0, 0.0, 0.1, 0.9, 0.0)",1060.0,-0.016094170145314043,0.016996887645498504,-0.08533666814828687,-0.02536682990994822,-0.010966625298898986,-0.0016054717371542819,0.0
"(0.0, 0.0, 0.0, 0.2, 0.0, 0.8)",1059.0,-0.01393457031962615,0.016096192571709557,-0.12602038467021826,-0.021423180884068412,-0.008972997304442029,-0.0010135984074121068,0.0
"(0.0, 0.0, 0.0, 0.2, 0.1, 0.7)",1061.0,-0.012002704902333272,0.013704864127058512,-0.08709199642544264,-0.017474216160578288,-0.00785055854204738,-0.0006001006584223353,0.0
"(0.0, 0.0, 0.0, 0.2, 0.2, 0.6)",1059.0,-0.013657249881993046,0.016811841048010433,-0.11880602105916829,-0.020169650093051945,-0.007926281065933204,-0.00039918264728234446,0.0
"(0.0, 0.0, 0.0, 0.2, 0.3, 0.5)",1059.0,-0.01333282778742792,0.014669845551880946,-0.08990432081071008,-0.020969723654449664,-0.008461020477678678,-0.0011892578824025811,0.0
"(0.0, 0.0, 0.0, 0.2, 0.4, 0.4)",1061.0,-0.014959570154347856,0.016380546046347668,-0.10362607977638172,-0.024348906342045857,-0.009860324489620173,-0.0009341771966891164,0.0
"(0.0, 0.0, 0.0, 0.2, 0.5, 0.3)",1060.0,-0.012047532854807771,0.013526346159529423,-0.07693287443083677,-0.01897505695701443,-0.00783760629815475,-0.00015120304613759316,0.0
"(0.0, 0.0, 0.0, 0.2, 0.6, 0.2)",1061.0,-0.01489326396111957,0.017105855952091742,-0.10354680144743185,-0.024216908095825388,-0.00925025111133521,-0.0009155666512805172,0.0
"(0.0, 0.0, 0.0, 0.2, 0.8, 0.0)",1060.0,-0.01167472549690783,0.013842940928476693,-0.10243508398754456,-0.01741463196921201,-0.00701548669745459,-0.0005764246322907187,0.0
"(0.0, 0.0, 0.0, 0.3, 0.0, 0.7)",1061.0,-0.012514280448804194,0.012688111476830391,-0.06825324487338018,-0.02016063678836025,-0.00908211612778178,-0.0010892294511785114,0.0
"(0.0, 0.0, 0.0, 0.3, 0.1, 0.6)",1059.0,-0.011748182134766813,0.012852322054782086,-0.0940409374459448,-0.018019339284405078,-0.008304254349129984,-0.0004556677172544026,0.0
"(0.0, 0.0, 0.0, 0.3, 0.2, 0.5)",1060.0,-0.012428080928319261,0.014730741906774654,-0.08761074137757564,-0.018448608487140757,-0.007714200744968283,-0.00019826580342767057,0.0
"(0.0, 0.0, 0.0, 0.3, 0.3, 0.4)",1060.0,-0.011931683936685587,0.012515614913221968,-0.081912452100277,-0.018821072916137785,-0.008606564296108685,-0.0011828065991103388,0.0
"(0.0, 0.0, 0.0, 0.3, 0.4, 0.3)",1061.0,-0.011943968482354248,0.012322676068292614,-0.0667686500885201,-0.01978036464466626,-0.00819916358798038,-0.0008786685925553171,0.0
"(0.0, 0.0, 0.0, 0.3, 0.5, 0.2)",1061.0,-0.01099171956699164,0.013195620083270639,-0.0753648934622169,-0.01636583168717,-0.006578597337011165,-0.00027947979882698103,0.0
"(0.0, 0.0, 0.0, 0.3, 0.7, 0.0)",1059.0,-0.012761484860463485,0.013283989339790522,-0.06677744200651708,-0.020826866957864947,-0.00874230760203418,-0.0012484215504061954,0.0
"(0.0, 0.0, 0.0, 0.4, 0.0, 0.6)",1061.0,-0.011141666773289344,0.01413864835233514,-0.10618782827180402,-0.01580883558601104,-0.006392432437273307,-0.0002897395288874134,0.0
"(0.0, 0.0, 0.0, 0.4, 0.1, 0.5)",1059.0,-0.011044756170684698,0.012324461355027778,-0.09362335750576176,-0.017115044562390328,-0.007667183277088828,-0.0007961068148746033,0.0
"(0.0, 0.0, 0.0, 0.4, 0.2, 0.4)",1061.0,-0.01103326143548636,0.012574493630796962,-0.08126403334516488,-0.01726157972179412,-0.007406850455649957,-0.00027763396222642165,0.0
"(0.0, 0.0, 0.0, 0.4, 0.3, 0.3)",1059.0,-0.011001367046066263,0.013069701382467035,-0.0945127131795767,-0.01714969081405479,-0.006444901622051843,-0.0003610941172597479,0.0
"(0.0, 0.0, 0.0, 0.4, 0.4, 0.2)",1060.0,-0.01021251006343881,0.012002254228109849,-0.0730009808328769,-0.015856109489284093,-0.006182038277379431,-0.0002164933661818174,0.0
"(0.0, 0.0, 0.0, 0.4, 0.5, 0.1)",1060.0,-0.01140830932947756,0.013642559418838547,-0.0687306809573298,-0.01674480561298574,-0.0063862901132654155,-0.0003755323199051733,0.0
"(0.0, 0.0, 0.0, 0.4, 0.6, 0.0)",1061.0,-0.010500132274507594,0.01210769587827964,-0.0721012516668515,-0.016232457572125738,-0.006208792691407919,-0.00046102701826628326,0.0
"(0.0, 0.0, 0.0, 0.5, 0.0, 0.5)",1060.0,-0.010301469815619349,0.011716030018185363,-0.09591399563521072,-0.01570915786414046,-0.006941848794434956,-0.0006957678715495305,0.0
"(0.0, 0.0, 0.0, 0.5, 0.1, 0.4)",1059.0,-0.010303442504730129,0.010864536036896072,-0.0743717622432591,-0.016440206936186412,-0.007578766705834991,-0.0009193375503341577,0.0
"(0.0, 0.0, 0.0, 0.5, 0.2, 0.3)",1061.0,-0.009611817026792481,0.010121514078766106,-0.07877866710618671,-0.015510593137875988,-0.007233649872042041,-0.0005462838834203884,0.0
"(0.0, 0.0, 0.0, 0.5, 0.3, 0.2)",1061.0,-0.009931347445612249,0.01183642646535834,-0.06189153829879266,-0.015421659622041796,-0.005485356685484031,-0.0005257735048780583,0.0
"(0.0, 0.0, 0.0, 0.5, 0.4, 0.1)",1061.0,-0.009136615743381947,0.011924174519312528,-0.0801511479514064,-0.01340953706039674,-0.004765489333398996,-1.1121615198684188e-07,0.0
"(0.0, 0.0, 0.0, 0.5, 0.5, 0.0)",1059.0,-0.008105922521287279,0.009429343338765127,-0.05419973339806532,-0.012455865065925768,-0.00490106426472183,-0.00033911172741494323,0.0
"(0.0, 0.0, 0.0, 0.6, 0.0, 0.4)",1059.0,-0.008300645499835557,0.010337256014255896,-0.08560372757543169,-0.013009206488757002,-0.004859629971325812,0.0,0.0
"(0.0, 0.0, 0.0, 0.6, 0.1, 0.3)",1061.0,-0.008598560053858884,0.01040305036883003,-0.08076977850623725,-0.013604182885651215,-0.00500348786857882,-0.00038181768832024825,0.0
"(0.0, 0.0, 0.0, 0.6, 0.2, 0.2)",1060.0,-0.00896079654930484,0.01155131315071024,-0.07743313047084104,-0.012857605101777705,-0.004810434544023622,-0.0006130470144938357,0.0
"(0.0, 0.0, 0.0, 0.6, 0.4, 0.0)",1060.0,-0.007330933172916456,0.007987803040346044,-0.04804156237779716,-0.011880573065033876,-0.00469811634335017,-0.00037978608428606853,0.0
"(0.0, 0.0, 0.0, 0.7, 0.0, 0.3)",1060.0,-0.006798684990326259,0.008801104849210236,-0.07264433983818605,-0.010313358090088423,-0.003728406488865431,-0.0002862780427576709,0.0
"(0.0, 0.0, 0.0, 0.7, 0.1, 0.2)",1059.0,-0.0068277259485647595,0.008733648162626508,-0.0680589784386298,-0.010218426623078768,-0.003864907045522264,-0.00015953303586530978,0.0
"(0.0, 0.0, 0.0, 0.7, 0.3, 0.0)",1060.0,-0.008054829502626128,0.01063069079550642,-0.0634747620354712,-0.011376954832400334,-0.004017034508672154,-0.0002444179392408732,0.0
"(0.0, 0.0, 0.0, 0.8, 0.0, 0.2)",1061.0,-0.006741840656634193,0.00828835658793395,-0.059363772620937345,-0.01022664293983661,-0.004030596101690754,-0.00046279611164253676,0.0
"(0.0, 0.0, 0.0, 0.8, 0.1, 0.1)",1060.0,-0.006031170946337531,0.007367986436038538,-0.05222485206296925,-0.009240071780777867,-0.0035133052649969593,-0.0002487319785039571,0.0
"(0.0, 0.0, 0.0, 0.8, 0.2, 0.0)",1060.0,-0.00609306474445764,0.0086764762650716,-0.05760161448026312,-0.007953210149751203,-0.002918981913502286,0.0,0.0
"(0.0, 0.0, 0.0, 0.9, 0.0, 0.1)",1061.0,-0.006271412103624453,0.008582549392188353,-0.06717412443093299,-0.008902910284083283,-0.002938287512167018,-0.00037089607298558633,0.0
"(0.0, 0.0, 0.0, 0.9, 0.1, 0.0)",1059.0,-0.005752930803194576,0.007538766336049457,-0.04989796047992665,-0.008189016389436768,-0.003014029878112023,-0.00023614740814944355,0.0
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",1060.0,-0.005477384457322614,0.007722292844784012,-0.057270290694236094,-0.007229592216766264,-0.0024754904747765812,0.0,0.0
"(0.0, 0.0, 0.1, 0.0, 0.0, 0.9)",1061.0,-0.015988020805899412,0.01739639641800914,-0.1424714859412589,-0.024617911033018355,-0.011671338176734554,-0.001443359601174486,0.0
"(0.0, 0.0, 0.1, 0.0, 0.1, 0.8)",1060.0,-0.01591513743381936,0.017395197900445143,-0.10844995184446563,-0.025152521704548042,-0.010766833083490546,-0.0011275058696600965,0.0
"(0.0, 0.0, 0.1, 0.0, 0.2, 0.7)",1061.0,-0.015578638730965887,0.017581869217172152,-0.0882728845360566,-0.025236927451648596,-0.009934530192785755,-0.000702009873295966,0.0
"(0.0, 0.0, 0.1, 0.0, 0.3, 0.6)",1059.0,-0.015696078180683134,0.0180425742238043,-0.13145524777611042,-0.024273172786733195,-0.010457031822268075,-0.0008939854405578412,0.0
"(0.0, 0.0, 0.1, 0.0, 0.4, 0.5)",1060.0,-0.014646299521438378,0.016517891400435705,-0.11133595144031465,-0.02352975897180929,-0.009486906022107675,-0.0007941079378021923,0.0
"(0.0, 0.0, 0.1, 0.0, 0.5, 0.4)",1059.0,-0.014133740096514705,0.015620740009049174,-0.11998021134212365,-0.022327364627933454,-0.009007276551309252,-0.0010070731514148484,0.0
"(0.0, 0.0, 0.1, 0.0, 0.6, 0.3)",1060.0,-0.014949968989602545,0.01652312932433851,-0.0888288245247629,-0.022854651292609496,-0.010540208368639545,-0.0012244935761327293,0.0
"(0.0, 0.0, 0.1, 0.0, 0.7, 0.2)",1059.0,-0.012907115057522482,0.01467613222792273,-0.07240508194189507,-0.019063071778233,-0.007859921590723816,-0.0008517947733256044,0.0
"(0.0, 0.0, 0.1, 0.0, 0.8, 0.1)",1060.0,-0.013391652019466627,0.014046717286617343,-0.08686401539590019,-0.01997852960436284,-0.009909582694852214,-0.0013570815716165536,0.0
"(0.0, 0.0, 0.1, 0.0, 0.9, 0.0)",1061.0,-0.014653882635265732,0.015947036497597086,-0.08649006754820594,-0.02241831810785806,-0.009735987896372615,-0.001430754000586084,0.0
