,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.1, 0.0, 0.1, 0.8)",1060.0,7.899420002533889,4.920431668712886,-3.79804021302228,3.6808450409985585,8.462757475599627,11.748586207949701,23.85075684833547
"(0.0, 0.0, 0.1, 0.0, 0.2, 0.7)",1061.0,7.364993745505486,4.9243289934345045,-3.980108571931973,3.240810090030777,7.914843995048739,11.230856543100153,23.105334220413077
"(0.0, 0.0, 0.1, 0.0, 0.3, 0.6)",1059.0,7.227124556408459,4.800607673892609,-4.168222523115402,3.156625013955574,7.7414286964816625,10.990452355653495,22.847070209611818
"(0.0, 0.0, 0.1, 0.0, 0.4, 0.5)",1060.0,7.4669290477704635,4.823931650886242,-3.9154093555763527,3.299945866142078,7.924981241990808,11.241912704919294,23.650868949081737
"(0.0, 0.0, 0.1, 0.0, 0.5, 0.4)",1059.0,7.83464463917409,4.951189602031468,-3.454589333059778,3.6537403148752805,8.373088226460657,11.721468240981006,23.982102284426833
"(0.0, 0.0, 0.1, 0.0, 0.6, 0.3)",1060.0,7.624034085654839,4.898102708062301,-3.5942185429302302,3.5160289873038044,8.112338373057653,11.414371954698755,23.611996420115407
"(0.0, 0.0, 0.1, 0.0, 0.7, 0.2)",1059.0,7.7318358931091415,4.757527020945839,-3.1989591384233194,3.77502127442248,8.113249349378481,11.457252504082895,23.752743888314818
"(0.0, 0.0, 0.1, 0.0, 0.8, 0.1)",1060.0,7.375701069476251,4.852842530763477,-3.521573458828795,3.3161215140290534,7.838619704856143,11.122859884380645,23.396059673607112
"(0.0, 0.0, 0.1, 0.0, 0.9, 0.0)",1061.0,7.484450252614255,4.816581694408396,-3.5685706537642794,3.3927593901007906,7.952087980851099,11.170930144341185,23.222239801941505
"(0.0, 0.0, 0.1, 0.1, 0.0, 0.8)",1059.0,6.2662063834496715,4.101281806550259,-3.541032160725029,3.096638559044127,6.314132760596556,9.462484344957954,20.97160930259149
"(0.0, 0.0, 0.1, 0.1, 0.1, 0.7)",1060.0,6.23999540904804,4.044233046683367,-3.4053189070148657,3.222840185609633,6.2369032206621435,9.320838828424014,20.651605667470722
"(0.0, 0.0, 0.1, 0.1, 0.2, 0.6)",1061.0,6.363150836749706,4.0659751954962955,-3.1947970888157964,3.1450650571585745,6.404552630521561,9.456658204696689,20.197443755297115
"(0.0, 0.0, 0.1, 0.1, 0.3, 0.5)",1061.0,6.194343120525877,3.949983969492156,-3.4927069453151107,3.1292295963595467,6.139341421954904,9.220914888717715,20.423674745254992
"(0.0, 0.0, 0.1, 0.1, 0.4, 0.4)",1060.0,6.522228743035455,4.0812519080039635,-3.11178149386648,3.3477241994998526,6.473504465264937,9.752316389466088,20.327998126434156
"(0.0, 0.0, 0.1, 0.1, 0.5, 0.3)",1060.0,6.756076887108579,3.97962490237794,-2.777948216301993,3.7299596888054736,6.6324966606878,9.805987953697333,20.439128285636553
"(0.0, 0.0, 0.1, 0.1, 0.6, 0.2)",1060.0,5.687303653978094,4.086193713708327,-3.881015632329531,2.480157783651713,5.742188574841181,8.84423420408457,19.82152596256606
"(0.0, 0.0, 0.1, 0.1, 0.8, 0.0)",1061.0,6.4527026797927265,4.030282292549657,-2.8267927783939,3.3548865029089234,6.3893988370841415,9.476364417017463,20.041659128892814
"(0.0, 0.0, 0.1, 0.2, 0.0, 0.7)",1061.0,5.248503818746376,3.4122738290362187,-3.091045582685862,2.7939040686831658,4.948524599030489,7.77490653494706,17.81366830748361
"(0.0, 0.0, 0.1, 0.2, 0.1, 0.6)",1060.0,4.887227603448571,3.4233633548343296,-3.2619522878159968,2.4344013288999697,4.572010822310789,7.425016835781685,17.411615835297244
"(0.0, 0.0, 0.1, 0.2, 0.2, 0.5)",1061.0,4.712867566963516,3.4097290849199577,-3.320395121044273,2.3401521656476603,4.440448781799213,7.278974067864537,16.835620263883726
"(0.0, 0.0, 0.1, 0.2, 0.3, 0.4)",1060.0,4.324006338826616,3.385003658570044,-3.9238868649809198,2.028730962316876,4.207810523666726,6.870025479631018,17.118690414859014
"(0.0, 0.0, 0.1, 0.2, 0.4, 0.3)",1061.0,5.1338310117900035,3.401931775863348,-2.7859321493921825,2.8156444273051244,4.893547664731244,7.748990247233217,17.63471434565272
"(0.0, 0.0, 0.1, 0.2, 0.5, 0.2)",1059.0,5.0053481630527505,3.4461743145389465,-3.0013383517226893,2.5632094045020337,4.802238182701033,7.666689267159374,17.5094882485633
"(0.0, 0.0, 0.1, 0.2, 0.6, 0.1)",1060.0,4.498500257025826,3.3785437599207033,-3.490292619330316,2.0643100745177536,4.2921818334069926,7.117409525926474,16.859141131179157
"(0.0, 0.0, 0.1, 0.2, 0.7, 0.0)",1060.0,5.273644490552411,3.4283633501645,-2.440189126422874,2.921150566695506,4.926405047102056,7.858572098009689,17.695329137916275
"(0.0, 0.0, 0.1, 0.3, 0.0, 0.6)",1060.0,3.3377389883175397,2.9148649573971817,-4.194541098072468,1.3390026079890949,3.058480502507696,5.454273096184333,14.3998524969738
"(0.0, 0.0, 0.1, 0.3, 0.1, 0.5)",1061.0,3.9368593056041794,3.0098453789808515,-2.835865965861927,1.8330779741987084,3.467792383795486,5.857953535478936,14.503260960216178
"(0.0, 0.0, 0.1, 0.3, 0.2, 0.4)",1061.0,3.586122576532563,2.8835942166148945,-2.8209267649284326,1.5290145378820001,3.1324893399573095,5.521849063546239,14.065988570461899
"(0.0, 0.0, 0.1, 0.3, 0.3, 0.3)",1060.0,3.5570345592049826,2.871003523781658,-2.6856354645252067,1.5162966739817678,3.0942908117655548,5.377746123962452,14.032316906420093
"(0.0, 0.0, 0.1, 0.3, 0.4, 0.2)",1059.0,3.326841313375291,2.7899180018852907,-2.893790455848914,1.3060003709672352,2.8804833819426827,5.243165669620212,13.512545427727341
"(0.0, 0.0, 0.1, 0.3, 0.5, 0.1)",1060.0,3.7759950973194134,2.88359119463565,-2.2727737477342025,1.6489733286335964,3.3600111998804048,5.736203269927052,14.178548739432149
"(0.0, 0.0, 0.1, 0.3, 0.6, 0.0)",1061.0,4.2584507770178215,2.850766949778091,-2.1034606171512005,2.2328726006092783,3.8914017611792926,6.059978166244906,14.733679428289495
"(0.0, 0.0, 0.1, 0.4, 0.0, 0.5)",1059.0,2.4300304214443793,2.667647492553293,-3.6969099730398636,0.5447028233051542,2.1440835121330397,3.7829843863582147,11.672166696051951
"(0.0, 0.0, 0.1, 0.4, 0.1, 0.4)",1059.0,2.2448983387633823,2.6338874094505993,-3.697972935247524,0.4104926950145613,1.936080854653076,3.6376161713676973,11.4148802145849
"(0.0, 0.0, 0.1, 0.4, 0.2, 0.3)",1059.0,2.2850843113759116,2.6093814882746003,-3.603119152725589,0.5133288439096358,1.9789576286557384,3.6294655230974,11.289423952554131
"(0.0, 0.0, 0.1, 0.4, 0.3, 0.2)",1059.0,2.628110156471988,2.709810585643819,-3.1747361919406663,0.6953871037799914,2.373935776578049,3.9326943667888346,12.278147276678238
"(0.0, 0.0, 0.1, 0.4, 0.4, 0.1)",1059.0,2.417295285272656,2.7073809620054465,-3.289963049051102,0.5182486476763832,2.0930864797143847,3.690730599448857,11.678437768857847
"(0.0, 0.0, 0.1, 0.4, 0.5, 0.0)",1059.0,2.1339116159727616,2.527195164334827,-3.411221653238098,0.3381759593859842,1.8581402106855585,3.533882213674813,11.093214463131682
"(0.0, 0.0, 0.1, 0.5, 0.0, 0.4)",1061.0,1.18438636343148,2.740793609507389,-5.644709124334401,-0.6702096658988425,1.047224537078808,2.5887804287853156,9.32250826509453
"(0.0, 0.0, 0.1, 0.5, 0.1, 0.3)",1060.0,0.7289899425017434,2.6514870350044353,-5.965768602206355,-1.0715066917187042,0.6059501882194386,2.160395251613885,9.002598553587573
"(0.0, 0.0, 0.1, 0.5, 0.2, 0.2)",1061.0,1.3113140833766763,2.729471897055062,-5.448783776661893,-0.604452523283512,1.2215028527681624,2.7465864560535285,9.592578719259517
"(0.0, 0.0, 0.1, 0.5, 0.4, 0.0)",1059.0,1.165177312935074,2.6904297869287643,-5.378928565745293,-0.654648359580535,1.0088484734061192,2.630936185484723,9.637371756438307
"(0.0, 0.0, 0.1, 0.6, 0.0, 0.3)",1059.0,-0.19836599107990177,3.0974299807067838,-7.802781324967244,-2.754915751601697,0.12149289380917691,1.6683363529840034,7.754704570668859
"(0.0, 0.0, 0.1, 0.6, 0.1, 0.2)",1059.0,-0.12423829345066163,3.1311790193183624,-7.684597335301564,-2.7805947676427065,0.2282652223107864,1.967131110610434,7.914551560867617
"(0.0, 0.0, 0.1, 0.6, 0.3, 0.0)",1060.0,0.10960838610369507,3.1348125773012745,-7.5165486975799585,-2.47560004295042,0.4821297099169023,2.110549948651601,8.154693069529827
"(0.0, 0.0, 0.1, 0.7, 0.0, 0.2)",1061.0,-1.4802490878337908,3.6697396282215013,-9.993362107695459,-5.03622497424467,-0.44236235784070504,1.3610386256787248,5.9565283632993715
"(0.0, 0.0, 0.1, 0.7, 0.2, 0.0)",1061.0,-1.3818291077252545,3.6787865753782674,-9.96886203284845,-4.93546410136199,-0.24816607490553466,1.4753804475068708,5.90988551843007
"(0.0, 0.0, 0.1, 0.8, 0.0, 0.1)",1061.0,-2.604662050996823,4.3781169179626716,-12.20871767678684,-7.218999300214484,-0.45111478038600483,1.057599289041022,3.741597966509537
"(0.0, 0.0, 0.1, 0.8, 0.1, 0.0)",1060.0,-2.7051177778000555,4.354434399556677,-12.484940481107564,-7.26196016962638,-0.5935905749513082,0.9439982479650665,3.611996858341335
"(0.0, 0.0, 0.1, 0.9, 0.0, 0.0)",1061.0,-3.7517082646857562,5.078823978843795,-14.197583431494415,-9.227932820991931,-0.6346840576055569,0.7242977576916414,2.937425750319626
"(0.0, 0.0, 0.2, 0.0, 0.0, 0.8)",1060.0,6.13334069373316,3.898813873002437,-3.8322186400492857,3.0805156290774156,6.13154464676825,9.089325301473622,20.453468720641595
"(0.0, 0.0, 0.2, 0.0, 0.1, 0.7)",1059.0,6.320348981562083,3.9103742852383174,-3.8727857557388723,3.2682702884016503,6.2275673225668795,9.308205672309487,21.047448182973675
"(0.0, 0.0, 0.2, 0.0, 0.2, 0.6)",1061.0,6.22097938938263,4.0923604330726056,-3.043713907097816,3.15794292798845,6.234217487510002,9.332632836690012,21.067460696763966
"(0.0, 0.0, 0.2, 0.0, 0.3, 0.5)",1060.0,6.142650698633411,3.918338255699809,-3.2746946387339784,3.072159541612852,6.1528217767493985,9.124340931117295,20.564929712603846
"(0.0, 0.0, 0.2, 0.0, 0.4, 0.4)",1060.0,6.046271112587906,4.063548252378587,-3.1731987531817225,3.0091977415238595,6.002168835689254,9.151502066319912,20.75545456947735
"(0.0, 0.0, 0.2, 0.0, 0.5, 0.3)",1060.0,6.1965245019256505,3.9764668049981173,-3.0871880012209427,3.059612620086731,6.1414239140798115,9.20603995140165,20.887291224993294
"(0.0, 0.0, 0.2, 0.0, 0.6, 0.2)",1060.0,5.920683872897288,3.9850481237157718,-3.335836315684216,2.848635070602455,5.8984574412568325,8.904592057059231,20.562339562395273
"(0.0, 0.0, 0.2, 0.0, 0.8, 0.0)",1059.0,6.217274067789758,4.067817639206497,-2.999539508224838,3.192106566341277,6.229474692670315,9.232283914618726,21.043768880420025
